i,j,x_m,y_m,wall_distance_m
4,7,0.299276025,0.000517917064,3.79866741e-05
4,8,0.299277153,0.000525767999,4.59182701e-05
4,9,0.299278403,0.000534442833,5.46826925e-05
4,10,0.299279788,0.000544028021,6.43673892e-05
4,11,0.299281322,0.000554619084,7.50689899e-05
4,12,0.299283022,0.000566321562,8.68942707e-05
4,13,0.299284906,0.000579252065,9.99612193e-05
4,14,0.299286993,0.000593539431,0.000114400212
4,15,0.299289306,0.000609326007,0.000130355316
4,16,0.29929187,0.000626769067,0.000147985723
4,17,0.299294711,0.000646042377,0.000167467342
4,18,0.299297862,0.000667337918,0.000188994554
4,19,0.299301354,0.000690867799,0.000212782147
4,20,0.299305227,0.000716866361,0.000239067464
4,21,0.299309522,0.000745592509,0.000268112769
4,22,0.299314286,0.00077733228,0.000300207864
4,23,0.299319571,0.000812401688,0.000335672979
4,24,0.299325434,0.000851149855,0.000374861972
4,25,0.29933194,0.000893962484,0.000418165853
4,26,0.299339162,0.000941265677,0.00046601669
4,27,0.299347179,0.000993530168,0.000518891919
4,28,0.29935608,0.00105127599,0.000577319106
4,29,0.299365965,0.00111507761,0.000641881213
4,30,0.299376946,0.00118556966,0.000713222415
4,31,0.299389146,0.00126345319,0.000792054522
4,32,0.299402705,0.0013495026,0.00087916409
4,33,0.299417777,0.00144457333,0.00097542026
4,34,0.299434535,0.00154961028,0.00108178344
4,35,0.299453173,0.0016656572,0.00119931487
4,36,0.299473909,0.00179386694,0.00132918723
4,37,0.299496985,0.00193551285,0.00147269633
4,38,0.299522672,0.00209200134,0.00163127405
4,39,0.299551277,0.00226488574,0.00180650262
4,40,0.29958314,0.00245588156,0.00200013037
4,41,0.299618645,0.00266688341,0.00221408926
4,42,0.299658224,0.00289998355,0.00245051408
4,43,0.299702359,0.00315749249,0.00271176376
4,44,0.299751594,0.0034419616,0.00300044496
4,45,0.299806542,0.00375620809,0.003319438
4,46,0.29986789,0.00410334254,0.00367192568
4,47,0.299936414,0.00448679929,0.00406142495
4,48,0.300012986,0.00491036989,0.00449182209
4,49,0.300098593,0.00537823999,0.00496741141
4,50,0.300194345,0.00589502993,0.00549293814
4,51,0.300301498,0.00646583958,0.00607364577
4,52,0.30042147,0.00709629753,0.00671532836
4,53,0.300555866,0.00779261543,0.00742438834
4,54,0.3007065,0.00856164761,0.00820790041
4,55,0.300875429,0.00941095685,0.00907368213
4,56,0.301064982,0.0103488865,0.0100303719
4,57,0.301277802,0.0113846399,0.0110875152
4,58,0.301516889,0.0125283676,0.0122556597
4,59,0.30178565,0.0137912629,0.0135464607
4,60,0.30208796,0.0151856671,0.0149727972
4,61,0.302428227,0.0167251844,0.0165489007
4,62,0.302811469,0.0184248081,0.0182904969
4,63,0.303243407,0.0203010584,0.0202149625
4,64,0.303730564,0.0223721334,0.0223414993
4,65,0.304280386,0.0246580738,0.0246913248
4,66,0.304901378,0.0271809423,0.0272878846
4,67,0.305603266,0.0299650189,0.0301570861
4,68,0.306397177,0.0330370136,0.0333275569
4,69,0.307295851,0.0364262963,0.0368309308
4,70,0.308313892,0.0401651459,0.0407021629
4,71,0.309468047,0.0442890191,0.0449798787
4,72,0.310777542,0.0488368385,0.0497067595
4,73,0.31226446,0.0538513023,0.0549299681
4,74,0.313954192,0.0593792132,0.0607016194
4,75,0.315875949,0.0654718272,0.0670793006
4,76,0.318063365,0.0721852207,0.0741266455
4,77,0.320555193,0.0795806735,0.0819139696
4,78,0.323396119,0.0877250631,0.0905189714
4,79,0.326637698,0.0966912666,0.100027508
4,80,0.330339458,0.106558562,0.110534452
4,81,0.334570167,0.117413016,0.122144636
4,82,0.339409312,0.129347855,0.134973903
4,83,0.344948824,0.14246378,0.149150258
4,84,0.351295066,0.156869231,0.164815146
4,85,0.358571146,0.172680542,0.182124864
4,86,0.366919598,0.190021967,0.201252123
4,87,0.376505472,0.209025517,0.222387765
4,88,0.387519907,0.229830552,0.245742673
4,89,0.400184239,0.252583037,0.271549873
