x_m,y_m,u_ms,v_ms,speed_ms,Cp,T_static_K,T_recovery_K,Mach_local,vorticity_1s
-0.43315,-0.62492,84.576,31.22,90.155,0.0988,287.944,291.569,0.265,-0.0
-0.42593,-0.62492,84.506,31.201,90.082,0.1003,287.95,291.57,0.2648,-0.0
-0.41871,-0.62492,84.435,31.181,90.009,0.1018,287.957,291.571,0.2646,-0.0
-0.41149,-0.62492,84.364,31.159,89.934,0.1032,287.963,291.571,0.2644,-0.0
-0.40427,-0.62492,84.292,31.137,89.859,0.1047,287.97,291.572,0.2641,-0.0
-0.39705,-0.62492,84.22,31.113,89.783,0.1063,287.977,291.573,0.2639,-0.0
-0.38984,-0.62492,84.147,31.087,89.706,0.1078,287.984,291.573,0.2637,-0.0
-0.38262,-0.62492,84.075,31.061,89.629,0.1093,287.991,291.574,0.2635,-0.0
-0.3754,-0.62492,84.002,31.033,89.551,0.1109,287.998,291.575,0.2632,-0.0
-0.36818,-0.62492,83.928,31.004,89.472,0.1124,288.005,291.576,0.263,-0.0
-0.36096,-0.62492,83.855,30.973,89.392,0.114,288.012,291.576,0.2628,-0.0
-0.35374,-0.62492,83.781,30.941,89.312,0.1156,288.019,291.577,0.2625,-0.0
-0.34652,-0.62492,83.707,30.907,89.23,0.1172,288.026,291.578,0.2623,-0.0
-0.3393,-0.62492,83.633,30.872,89.149,0.1188,288.033,291.579,0.262,-0.0
-0.33208,-0.62492,83.558,30.836,89.066,0.1205,288.041,291.579,0.2618,-0.0
-0.32486,-0.62492,83.484,30.798,88.983,0.1221,288.048,291.58,0.2615,-0.0
-0.31764,-0.62492,83.409,30.758,88.9,0.1237,288.056,291.581,0.2613,-0.0
-0.31042,-0.62492,83.335,30.717,88.816,0.1254,288.063,291.582,0.261,-0.0
-0.30321,-0.62492,83.26,30.674,88.731,0.1271,288.07,291.582,0.2608,-0.0
-0.29599,-0.62492,83.186,30.63,88.646,0.1287,288.078,291.583,0.2605,-0.0
-0.28877,-0.62492,83.112,30.584,88.561,0.1304,288.085,291.584,0.2603,-0.0
-0.28155,-0.62492,83.038,30.537,88.475,0.1321,288.093,291.585,0.26,-0.0
-0.27433,-0.62492,82.964,30.487,88.388,0.1338,288.101,291.586,0.2598,-0.0
-0.26711,-0.62492,82.89,30.437,88.301,0.1355,288.108,291.586,0.2595,-0.0
-0.25989,-0.62492,82.817,30.384,88.214,0.1372,288.116,291.587,0.2592,-0.0
-0.25267,-0.62492,82.744,30.33,88.127,0.1389,288.124,291.588,0.259,-0.0
-0.24545,-0.62492,82.671,30.274,88.04,0.1406,288.131,291.589,0.2587,-0.0
-0.23823,-0.62492,82.599,30.216,87.952,0.1423,288.139,291.589,0.2585,-0.0
-0.23101,-0.62492,82.527,30.157,87.864,0.144,288.147,291.59,0.2582,-0.0
-0.22379,-0.62492,82.456,30.096,87.776,0.1458,288.154,291.591,0.2579,-0.0
-0.21658,-0.62492,82.385,30.033,87.688,0.1475,288.162,291.592,0.2577,-0.0
-0.20936,-0.62492,82.315,29.968,87.6,0.1492,288.17,291.593,0.2574,-0.0
-0.20214,-0.62492,82.246,29.902,87.513,0.1509,288.177,291.593,0.2572,-0.0
-0.19492,-0.62492,82.177,29.834,87.425,0.1526,288.185,291.594,0.2569,-0.0
-0.1877,-0.62492,82.109,29.765,87.338,0.1543,288.193,291.595,0.2566,-0.0
-0.18048,-0.62492,82.042,29.693,87.25,0.156,288.2,291.596,0.2564,-0.0
-0.17326,-0.62492,81.976,29.62,87.163,0.1576,288.208,291.597,0.2561,-0.0
-0.16604,-0.62492,81.911,29.545,87.077,0.1593,288.215,291.597,0.2559,-0.0
-0.15882,-0.62492,81.847,29.469,86.991,0.161,288.223,291.598,0.2556,-0.0
-0.1516,-0.62492,81.784,29.391,86.905,0.1626,288.23,291.599,0.2553,-0.0
