node_id,x_over_c,y_over_c,x_m,y_m
175,0.0218,-0.024555,0.00654,-0.007367
176,0.024778,-0.026041,0.007433,-0.007812
177,0.027942,-0.027504,0.008383,-0.008251
178,0.03129,-0.028944,0.009387,-0.008683
179,0.034821,-0.030361,0.010446,-0.009108
180,0.038534,-0.031752,0.01156,-0.009526
181,0.042427,-0.033119,0.012728,-0.009936
182,0.046499,-0.034459,0.01395,-0.010338
183,0.050747,-0.035772,0.015224,-0.010732
184,0.055171,-0.037058,0.016551,-0.011117
185,0.059769,-0.038315,0.017931,-0.011494
186,0.064539,-0.039542,0.019362,-0.011863
187,0.069478,-0.04074,0.020843,-0.012222
188,0.074586,-0.041907,0.022376,-0.012572
189,0.079859,-0.043043,0.023958,-0.012913
190,0.085297,-0.044146,0.025589,-0.013244
191,0.090897,-0.045217,0.027269,-0.013565
192,0.096656,-0.046254,0.028997,-0.013876
193,0.102573,-0.047256,0.030772,-0.014177
194,0.108645,-0.048224,0.032593,-0.014467
195,0.114869,-0.049156,0.034461,-0.014747
196,0.121244,-0.050052,0.036373,-0.015016
197,0.127767,-0.050912,0.03833,-0.015274
198,0.134435,-0.051734,0.040331,-0.01552
199,0.141246,-0.052519,0.042374,-0.015756
200,0.148197,-0.053266,0.044459,-0.01598
201,0.155286,-0.053975,0.046586,-0.016193
